"","X","period","Departamento","gain","lossgain"
"1",1,"2000-2014","25 DE MAYO",3042.81474731571,2133.86824217854
"2",1,"2000-2014","APOSTOLES",1806.02859339242,358.860356795724
"3",1,"2000-2014","CAINGUAS",2041.97755403105,949.487529928763
"4",1,"2000-2014","CANDELARIA",3355.50934613978,1229.452647703
"5",1,"2000-2014","CAPITAL",6306.07993601182,752.871975561702
"6",1,"2000-2014","CONCEPCION",4470.56093481379,1832.85502779451
"7",1,"2000-2014","ELDORADO",13134.1338528232,19068.6087505223
"8",1,"2000-2014","GENERAL MANUEL BELGRANO",2274.65572742225,4400.58685662663
"9",1,"2000-2014","GUARANI",2537.43487839264,2547.38937867639
"10",1,"2000-2014","IGUAZU",16323.0488512142,45133.766225245
"11",1,"2000-2014","LEANDRO N. ALEM",1839.60060164981,709.895385561292
"12",1,"2000-2014","LIBERTADOR GENERAL SAN MARTIN",11523.8638184536,11642.5832826288
"13",1,"2000-2014","MONTECARLO",8282.73232508313,15895.4905516948
"14",1,"2000-2014","OBERA",4002.47784577982,2048.07277228805
"15",1,"2000-2014","SAN IGNACIO",10911.8650922453,12106.101238109
"16",1,"2000-2014","SAN JAVIER",1802.13831895679,450.112429910983
"17",1,"2000-2014","SAN PEDRO",2933.6788027186,6790.80126319774
